"id","kode_kelompok","kode_komoditi","nama","satuan_dasar","kalori_per_100g","protein_per_100g","lemak_per_100g","karbohidrat_per_100g","serat_per_100g","vitamin_c_per_100g","zat_besi_per_100g","kalsium_per_100g","musim_panen","asal_produksi","shelf_life_hari","harga_rata_per_kg","susut_min_persen","susut_max_persen","susut_keterangan","created_at","updated_at"
"1","01","0101","Gabah","kg","360.00","7.50","2.30","78.00","2.00","0.00","1.20","10.00","apr-jun","lokal","180","5500.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"2","01","0102","Beras","kg","360.00","6.80","0.70","79.00","1.30","0.00","0.80","10.00","sepanjang_tahun","lokal","365","12000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"3","01","0103","Jagung","kg","365.00","9.40","4.70","74.00","7.30","0.00","2.70","7.00","jul-sep","lokal","180","4500.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"4","01","0104","Jagung Basah","kg","96.00","3.50","1.20","19.00","2.70","6.80","0.50","3.00","jul-sep","lokal","7","3000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"5","01","0105","Gandum","kg","340.00","13.20","2.50","71.00","12.20","0.00","3.60","29.00","sepanjang_tahun","impor","365","8000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"6","01","0106","Tepung Gandum","kg","364.00","10.30","1.20","76.00","2.70","0.00","1.20","15.00","sepanjang_tahun","campuran","180","9500.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"7","02","0201","Ubi Jalar","kg","86.00","1.60","0.10","20.00","3.00","20.00","0.60","30.00","okt-des","lokal","30","4000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"8","02","0202","Ubi Kayu","kg","160.00","1.40","0.30","38.00","1.80","20.00","0.30","16.00","sepanjang_tahun","lokal","30","3500.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"9","02","0203","Gaplek","kg","338.00","2.60","0.50","81.00","3.50","0.00","0.70","20.00","sepanjang_tahun","lokal","365","5000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"10","02","0204","Tapioka","kg","358.00","0.60","0.00","88.00","0.90","0.00","0.20","10.00","sepanjang_tahun","lokal","365","7000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"11","02","0205","Tepung Sagu","kg","355.00","0.70","0.20","85.00","3.00","0.00","0.30","20.00","sepanjang_tahun","lokal","365","8500.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"12","03","0301","Gula Pasir","kg","387.00","0.00","0.00","100.00","0.00","0.00","0.00","0.00","sepanjang_tahun","lokal","365","14000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
