nama_kelompok,Jumlah Record,Rata-rata,Std Deviasi,Min,Q1,Median,Q3,Max
Buah-buahan,15024,98.46,165.49,0.0,7.0,32.52,73.36,1608.42
Buah/Biji Berminyak,2004,95.81,51.69,15.99,48.8,95.16,127.3,268.96
Daging,5184,91.43,134.56,0.09,10.93,28.3,123.95,859.66
Gula,816,51.09,38.98,0.08,20.0,41.87,74.48,157.83
Makanan Berpati,2040,102.14,132.45,0.12,28.74,50.06,112.62,723.39
Minyak dan Lemak,3816,123.01,172.89,3.05,13.05,76.64,148.37,1636.83
Padi-Padian,2004,341.5,378.47,2.33,100.68,187.24,295.25,1488.43
Sayur-sayuran,14448,65.73,119.97,0.09,4.94,33.67,85.04,3220.14
Susu,816,297.22,227.92,0.27,148.85,212.25,388.2,1062.52
Telur,1668,111.38,67.31,0.02,47.81,108.8,155.11,317.65
