Nama Kelompok,Nama komoditi,Tahun,Masukan,Keluaran,Impor,Ekpor,Perubahan stok,Pakan,Bibit,Makanan,Bukan makanan,Tercecer,Penggunaan lain,Bahan makanan,Kg tahun,Gram hari,Kalori hari,Protein hari,Lemak hari,Status angka,Kd uraian,Create at
Padi - Padian,Beras,1993,44230,28750,24,351,-474,0,0,0,0,722,,28175,150.2,411.49,1481,27.98,2.88,0,,04/01/2023 - 08:59
Padi - Padian,Beras,1994,42753,27789,625,160,-1069,0,0,0,0,733,,28590,149.94,410.8,1479,27.93,2.88,0,,04/01/2023 - 08:59
Padi - Padian,Beras,1995,45576,29624,1807,0,1311,0,0,0,0,753,,29367,151.78,415.83,1497,28.28,2.91,0,,04/01/2023 - 08:59
Padi - Padian,Beras,1996,46858,30458,2150,0,344,0,0,0,0,807,,31457,159.84,437.92,1577,29.78,3.07,0,,04/01/2023 - 08:59
Padi - Padian,Beras,1997,45333,29466,345,0,-771,0,0,0,0,765,,29817,149.21,408.79,1472,27.8,2.86,0,,04/01/2023 - 08:59
Padi - Padian,Beras,1998,44966,28419,2895,2,764,0,0,0,3,764,,29781,146.8,402.18,1460,35.79,5.63,0,,04/01/2023 - 08:59
Padi - Padian,Beras,1999,46563,29428,4742,3,-886,0,0,0,1,876,,34176,168.49,461.62,1676,41.08,6.46,0,,04/01/2023 - 08:59
Padi - Padian,Beras,2000,47539,30045,1354,1,-197,0,0,0,0,790,,30805,149.65,410,1488,36.49,5.74,0,,04/01/2023 - 08:59
Padi - Padian,Beras,2001,46248,29229,637,4,58,0,0,0,15,745,,29045,139.35,381.77,1386,33.98,5.34,0,,04/01/2023 - 08:59
Padi - Padian,Beras,2002,46568,29431,1786,4,526,52,0,0,203,767,,29665,140.55,385.07,1398,34.27,5.39,0,,04/01/2023 - 08:59
Padi - Padian,Beras,2003,47143.05,29794.41,1425.43,0.68,58,52.97,0,0,205.66,779.03,,30123.49,140.95,386.16,1402,34.37,5.41,0,,04/01/2023 - 08:59
Padi - Padian,Beras,2004,48888,30897,236,2,-179,53,0,0,207,783,,30268,139.88,383.23,1391,34.11,5.37,0,,04/01/2023 - 08:59
Padi - Padian,Beras,2005,50042,31626,189,43,-678,55,0,0,214,811,,31370,142.69,390.93,1419,34.79,5.47,0,,04/01/2023 - 08:59
Padi - Padian,Beras,2006,50404,31855,438,1,-135,55,0,0,23,811,,31538,141.59,387.91,1408,34.52,5.43,0,,04/01/2023 - 08:59
Padi - Padian,Beras,2007,53116,33569,1405,2,615,58,0,0,65,859,,33374,147.91,405.23,1471,36.07,5.67,0,,04/01/2023 - 08:59
Padi - Padian,Beras,2008,56131,35475,286,1,-329,61,0,0,64,902,,35061,153.42,420.33,1526,37.41,5.88,0,,04/01/2023 - 08:59
Padi - Padian,Beras,2009,60033,37665,245,2,448,64,0,0,18,936,,36441,155.47,425.93,1546,37.91,5.96,0,,04/01/2023 - 08:59
Padi - Padian,Beras,2010,61891,38830,683,0,-726,68.41,0,0,25.1818,1006,,39139.2,164.09,449.57,1632,40.01,6.29,0,,04/01/2023 - 08:59
Padi - Padian,Beras,2011,61264,38437,2745,1,125,70,0,0,29,1026,,39930,165.01,452.08,1637,38.34,6.56,0,,04/01/2023 - 08:59
Padi - Padian,Jagung,1993,0,6460,494,61,0,414,76,0,646,345,,5412,28.85,79.04,253,6.54,2.77,0,,04/01/2023 - 08:59
Padi - Padian,Jagung,1994,0,6869,1118,37,0,477,85,0,669,398,,6321,33.15,90.82,290,7.52,3.19,0,,04/01/2023 - 08:59
Padi - Padian,Jagung,1995,0,8246,969,79,0,548,102,0,1629,457,,6400,33.08,90.62,290,7.5,3.18,0,,04/01/2023 - 08:59
