kode_kelompok,kode_komoditi,nama_komoditi,tahun,bulan,bahan_makanan,produksi,impor,ekspor,perubahan_stok,harga_konsumen,harga_produsen,populasi_indonesia,curah_hujan_mm,suhu_rata_celsius,luas_panen_ha,produktivitas_ton_ha,kalori_per_100g,protein_per_100g,lemak_per_100g,gram_per_capita_per_day,kalori_per_capita_per_day,protein_per_capita_per_day,date,year_month,quarter,semester,is_harvest_season,is_rainy_season,month_sin,month_cos,kalori_lag_1,bahan_makanan_lag_1,kalori_lag_3,bahan_makanan_lag_3,kalori_lag_6,bahan_makanan_lag_6,kalori_lag_12,bahan_makanan_lag_12,kalori_ma_3,kalori_ma_6,kalori_ma_12,kalori_growth_yoy,price_margin,production_per_capita,import_ratio,export_ratio,is_crisis_1998,is_crisis_2008,is_el_nino_2015,is_pandemic
1,102,Beras,1993,1,2347.9167,2395.8333,2.0,29.25,-39.5,1575.0,1181.25,187000000,2666.67,26.2,5750000.0,4.0275,360.0,6.8,0.7,412.51,1485.04,28.05,1993-01-01,1993-01,1,1,0,1,0.4999999999999999,0.8660254037844387,,,,,,,,,123.84,123.84,123.84,,33.33,12.8119,0.08,1.22,0,0,0,0
1,102,Beras,1993,2,2347.9167,2395.8333,2.0,29.25,-39.5,1575.0,1181.25,187000000,2666.67,26.2,5750000.0,4.0275,360.0,6.8,0.7,412.51,1485.04,28.05,1993-02-01,1993-02,1,1,0,1,0.8660254037844386,0.5000000000000001,123.84,2347.9167,,,,,,,123.84,123.84,123.84,,33.33,12.8119,0.08,1.22,0,0,0,0
1,102,Beras,1993,3,2347.9167,2395.8333,2.0,29.25,-39.5,1575.0,1181.25,187000000,2666.67,26.2,5750000.0,4.0275,360.0,6.8,0.7,412.51,1485.04,28.05,1993-03-01,1993-03,1,1,1,1,1.0,6.123233995736766e-17,123.84,2347.9167,,,,,,,123.84,123.84,123.84,,33.33,12.8119,0.08,1.22,0,0,0,0
1,102,Beras,1993,4,2347.9167,2395.8333,2.0,29.25,-39.5,1575.0,1181.25,187000000,2666.67,26.2,5750000.0,4.0275,360.0,6.8,0.7,412.51,1485.04,28.05,1993-04-01,1993-04,2,1,1,0,0.8660254037844387,-0.4999999999999998,123.84,2347.9167,123.84,2347.9167,,,,,123.84,123.84,123.84,,33.33,12.8119,0.08,1.22,0,0,0,0
1,102,Beras,1993,5,2347.9167,2395.8333,2.0,29.25,-39.5,1575.0,1181.25,187000000,2666.67,26.2,5750000.0,4.0275,360.0,6.8,0.7,412.51,1485.04,28.05,1993-05-01,1993-05,2,1,1,0,0.4999999999999999,-0.8660254037844387,123.84,2347.9167,123.84,2347.9167,,,,,123.84,123.84,123.84,,33.33,12.8119,0.08,1.22,0,0,0,0
1,102,Beras,1993,6,2347.9167,2395.8333,2.0,29.25,-39.5,1575.0,1181.25,187000000,2666.67,26.2,5750000.0,4.0275,360.0,6.8,0.7,412.51,1485.04,28.05,1993-06-01,1993-06,2,1,0,0,1.2246467991473532e-16,-1.0,123.84,2347.9167,123.84,2347.9167,,,,,123.84,123.84,123.84,,33.33,12.8119,0.08,1.22,0,0,0,0
1,102,Beras,1993,7,2347.9167,2395.8333,2.0,29.25,-39.5,1575.0,1181.25,187000000,2666.67,26.2,5750000.0,4.0275,360.0,6.8,0.7,412.51,1485.04,28.05,1993-07-01,1993-07,3,2,0,0,-0.4999999999999997,-0.8660254037844388,123.84,2347.9167,123.84,2347.9167,123.84,2347.9167,,,123.84,123.84,123.84,,33.33,12.8119,0.08,1.22,0,0,0,0
1,102,Beras,1993,8,2347.9167,2395.8333,2.0,29.25,-39.5,1575.0,1181.25,187000000,2666.67,26.2,5750000.0,4.0275,360.0,6.8,0.7,412.51,1485.04,28.05,1993-08-01,1993-08,3,2,0,0,-0.8660254037844384,-0.5000000000000004,123.84,2347.9167,123.84,2347.9167,123.84,2347.9167,,,123.84,123.84,123.84,,33.33,12.8119,0.08,1.22,0,0,0,0
1,102,Beras,1993,9,2347.9167,2395.8333,2.0,29.25,-39.5,1575.0,1181.25,187000000,2666.67,26.2,5750000.0,4.0275,360.0,6.8,0.7,412.51,1485.04,28.05,1993-09-01,1993-09,3,2,1,0,-1.0,-1.8369701987210294e-16,123.84,2347.9167,123.84,2347.9167,123.84,2347.9167,,,123.84,123.84,123.84,,33.33,12.8119,0.08,1.22,0,0,0,0
1,102,Beras,1993,10,2347.9167,2395.8333,2.0,29.25,-39.5,1575.0,1181.25,187000000,2666.67,26.2,5750000.0,4.0275,360.0,6.8,0.7,412.51,1485.04,28.05,1993-10-01,1993-10,4,2,1,0,-0.8660254037844386,0.5000000000000001,123.84,2347.9167,123.84,2347.9167,123.84,2347.9167,,,123.84,123.84,123.84,,33.33,12.8119,0.08,1.22,0,0,0,0
