feature,importance
kalori_ma_3,0.6588044
kalori_ma_6,0.30300277
kalori_ma_12,0.014389635
protein_per_capita_per_day,0.006777878
kalori_lag_1,0.00562992
kalori_lag_3,0.003821073
bahan_makanan,0.0012031329
tahun,0.0006507318
kalori_lag_12,0.00045494633
kalori_growth_yoy,0.00042144314
harga_produsen,0.0003533082
bahan_makanan_lag_1,0.0003235154
bahan_makanan_lag_12,0.00028338816
kalori_lag_6,0.00027288438
impor,0.00027195626
production_per_capita,0.00025661482
produksi,0.00024754493
populasi_indonesia,0.00023009497
ekspor,0.00021314475
perubahan_stok,0.00020638428
is_el_nino_2015,0.00020549125
import_ratio,0.0001959028
bahan_makanan_lag_3,0.00019532301
harga_konsumen,0.00016664031
export_ratio,0.00016220006
month_cos,0.00013831336
bahan_makanan_lag_6,0.00011991841
protein_per_100g,0.000112074486
bulan,0.00010138997
suhu_rata_celsius,9.969464e-05
month_sin,7.905072e-05
produktivitas_ton_ha,7.194568e-05
semester,7.0896946e-05
kalori_per_100g,7.0612514e-05
quarter,6.840513e-05
curah_hujan_mm,6.326455e-05
is_rainy_season,5.907043e-05
is_harvest_season,5.1479485e-05
lemak_per_100g,4.791194e-05
price_margin,3.4206434e-05
is_crisis_2008,2.8847366e-05
luas_panen_ha,2.7580001e-05
is_crisis_1998,1.4990163e-05
is_pandemic,0.0
