tahun,id_bulan,id_wilayah,id_variabel,id_klasifikasi,nilai,status
ararar,1,1,1,1,1250.5,A
2025,1,2,2,2,875.75,A
2025,1,3,3,3,640.25,A
2025,1,4,4,6,2100,A
2025,1,5,5,7,1850.3,A
2025,2,6,6,8,1420.8,A
2025,2,7,7,9,1680.45,A
2025,2,8,8,10,950.6,A
2025,2,9,9,11,1340.75,A
2025,2,10,1,12,780.9,A
2025,3,11,2,13,2250.15,A
2025,3,12,3,14,1560.25,A
2025,3,13,4,15,1890.4,A
2025,3,14,5,16,830.65,A
2025,3,15,6,6,1720.8,A
2025,4,16,7,7,1480.95,A
2025,4,17,8,8,2050.1,A
2025,4,18,9,9,920.3,A
2025,4,19,1,10,1670.45,A
2025,4,20,2,11,1380.6,A
2025,5,21,3,12,2140.75,A
2025,5,22,4,13,760.85,A
2025,5,23,5,14,1530.95,A
2025,5,24,6,15,1820.1,A
2025,5,25,7,16,1240.25,A
2025,6,26,8,6,1960.4,A
2025,6,27,9,7,850.55,A
2025,6,28,1,8,1450.7,A
2025,6,29,2,9,1750.85,A
2025,6,30,3,10,1090.95,A
2025,7,31,4,11,2280.1,A
2025,7,32,5,12,970.25,A
2025,7,33,6,13,1640.4,A
2025,7,34,7,14,1320.55,A
2025,7,35,8,15,1870.7,A
2025,8,58,9,16,1150.85,A
2025,8,91,1,6,2010.95,A
2025,8,110,2,7,890.1,A
2025,8,122,3,8,1580.25,A
2025,8,133,4,9,1410.4,A
2025,9,150,5,10,1730.55,A
2025,9,160,6,11,1260.7,A
2025,9,175,7,12,1920.85,A
2025,9,182,8,13,820.95,A
2025,9,189,9,14,1490.1,A
2025,10,195,1,15,1780.25,A
2025,10,222,2,16,1120.4,A
2025,10,257,3,6,2170.55,A
2025,10,262,4,7,940.7,A
2025,11,300,5,8,1620.85,A
