tahun,bulan,total_kalori_hari,jumlah_komoditi,populasi,date,month_sin,month_cos,kalori_ma3,kalori_std3,kalori_ma6,kalori_std6,kalori_ma12,kalori_std12,kalori_lag1,kalori_lag2,kalori_lag3,kalori_lag6,kalori_lag12,period
2010,1,285308.2635616167,5,229039464.0,2010-01-01,0.4999999999999999,0.8660254037844387,189716.3252967856,82785.0469343375,165818.34073057785,58537.8680681166,153869.34844747395,41392.52346716866,141920.35616437008,141920.35616437008,141920.35616437008,141920.35616437008,141920.35616437008,2010-01-01
2010,2,285308.2635616167,5,229039464.0,2010-02-01,0.8660254037844386,0.5000000000000001,237512.2944292012,82785.04693433752,189716.3252967856,74045.19698627562,165818.34073057785,55813.66725714329,285308.2635616167,141920.35616437008,141920.35616437008,141920.35616437008,141920.35616437008,2010-02-01
2010,3,285308.2635616167,5,229039464.0,2010-03-01,1.0,6.123233995736766e-17,285308.2635616167,0.0,213614.3098629934,78536.79135493381,177767.33301368172,64849.62113330344,285308.2635616167,285308.2635616167,141920.35616437008,141920.35616437008,141920.35616437008,2010-03-01
2010,4,285308.2635616167,5,229039464.0,2010-04-01,0.8660254037844387,-0.4999999999999998,285308.2635616167,0.0,237512.2944292012,74045.1969862756,189716.32529678565,70599.32523973421,285308.2635616167,285308.2635616167,285308.2635616167,141920.35616437008,141920.35616437008,2010-04-01
2010,5,285308.2635616167,5,229039464.0,2010-05-01,0.4999999999999999,-0.8660254037844387,285308.2635616167,0.0,261410.2789954089,58537.86806811654,201665.31757988952,73834.54166045482,285308.2635616167,285308.2635616167,285308.2635616167,141920.35616437008,141920.35616437008,2010-05-01
2010,6,285308.2635616167,5,229039464.0,2010-06-01,1.2246467991473532e-16,-1.0,285308.2635616167,0.0,285308.2635616167,0.0,213614.3098629934,74881.89243631596,285308.2635616167,285308.2635616167,285308.2635616167,141920.35616437008,141920.35616437008,2010-06-01
2010,7,285308.2635616167,5,229039464.0,2010-07-01,-0.4999999999999997,-0.8660254037844388,285308.2635616167,0.0,285308.2635616167,0.0,225563.3021460973,73834.5416604548,285308.2635616167,285308.2635616167,285308.2635616167,285308.2635616167,141920.35616437008,2010-07-01
2010,8,285308.2635616167,5,229039464.0,2010-08-01,-0.8660254037844385,-0.5000000000000004,285308.2635616167,0.0,285308.2635616167,0.0,237512.2944292012,70599.32523973416,285308.2635616167,285308.2635616167,285308.2635616167,285308.2635616167,141920.35616437008,2010-08-01
2010,9,285308.2635616167,5,229039464.0,2010-09-01,-1.0,-1.8369701987210294e-16,285308.2635616167,0.0,285308.2635616167,0.0,249461.28671230504,64849.62113330334,285308.2635616167,285308.2635616167,285308.2635616167,285308.2635616167,141920.35616437008,2010-09-01
2010,10,285308.2635616167,5,229039464.0,2010-10-01,-0.8660254037844386,0.5000000000000001,285308.2635616167,0.0,285308.2635616167,0.0,261410.2789954089,55813.66725714312,285308.2635616167,285308.2635616167,285308.2635616167,285308.2635616167,141920.35616437008,2010-10-01
2010,11,285308.2635616167,5,229039464.0,2010-11-01,-0.5000000000000004,0.8660254037844384,285308.2635616167,0.0,285308.2635616167,0.0,273359.27127851284,41392.523467168365,285308.2635616167,285308.2635616167,285308.2635616167,285308.2635616167,141920.35616437008,2010-11-01
2010,12,840246.2465752626,5,229039464.0,2010-12-01,-2.4492935982947064e-16,1.0,470287.59123283206,320393.5938764765,377797.9273972244,226552.48287878517,331553.09547942056,160196.7969382381,285308.2635616167,285308.2635616167,285308.2635616167,285308.2635616167,141920.35616437008,2010-12-01
2011,1,402137.0958903728,6,231787938.0,2011-01-01,0.4999999999999999,0.8660254037844387,509230.5353424174,292559.0450286318,397269.399452017,221988.0020881047,341288.8315068169,160680.16034259647,840246.2465752626,285308.2635616167,285308.2635616167,285308.2635616167,285308.2635616167,2011-01-01
2011,2,402137.0958903728,6,231787938.0,2011-02-01,0.8660254037844386,0.5000000000000001,548173.4794520027,252942.4360823596,416740.8715068097,215224.0388665754,351024.56753421325,160519.1933649935,402137.0958903728,840246.2465752626,285308.2635616167,285308.2635616167,285308.2635616167,2011-02-01
2011,3,402137.0958903728,6,231787938.0,2011-03-01,1.0,6.123233995736766e-17,402137.0958903728,0.0,436212.34356160247,206044.09480366224,360760.30356160953,159711.94783656,402137.0958903728,402137.0958903728,840246.2465752626,285308.2635616167,285308.2635616167,2011-03-01
2011,4,402137.0958903728,6,231787938.0,2011-04-01,0.8660254037844387,-0.4999999999999998,402137.0958903728,0.0,455683.8156163951,194105.6912182808,370496.0395890058,158248.53382360982,402137.0958903728,402137.0958903728,402137.0958903728,285308.2635616167,285308.2635616167,2011-04-01
2011,5,402137.0958903728,6,231787938.0,2011-05-01,0.4999999999999999,-0.8660254037844387,402137.0958903728,0.0,475155.2876711877,178857.31180368116,380231.7756164022,156110.4992153652,402137.0958903728,402137.0958903728,402137.0958903728,285308.2635616167,285308.2635616167,2011-05-01
2011,6,945959.99999991,6,231787938.0,2011-06-01,1.2246467991473532e-16,-1.0,583411.3972602185,313976.3000791256,492774.2465752956,222014.77091781184,435286.08698626,222126.4160821217,402137.0958903728,402137.0958903728,402137.0958903728,840246.2465752626,285308.2635616167,2011-06-01
2011,7,402137.0958903728,6,231787938.0,2011-07-01,-0.4999999999999997,-0.8660254037844388,583411.3972602185,313976.3000791256,492774.2465752956,222014.77091781184,445021.8230136563,217466.75510939525,945959.99999991,402137.0958903728,402137.0958903728,402137.0958903728,285308.2635616167,2011-07-01
2011,8,402137.0958903728,6,231787938.0,2011-08-01,-0.8660254037844385,-0.5000000000000004,583411.3972602185,313976.3000791256,492774.2465752956,222014.77091781184,454757.5590410527,212218.358693365,402137.0958903728,945959.99999991,402137.0958903728,402137.0958903728,285308.2635616167,2011-08-01
2011,9,945959.99999991,6,231787938.0,2011-09-01,-1.0,-1.8369701987210294e-16,583411.3972602185,313976.3000791256,583411.3972602185,280828.9401203188,509811.8704109105,247091.8116615608,402137.0958903728,402137.0958903728,945959.99999991,402137.0958903728,285308.2635616167,2011-09-01
2011,10,402137.0958903728,6,231787938.0,2011-10-01,-0.8660254037844386,0.5000000000000001,583411.3972602185,313976.3000791256,583411.3972602185,280828.9401203188,519547.6064383068,239630.88475249129,945959.99999991,402137.0958903728,402137.0958903728,402137.0958903728,285308.2635616167,2011-10-01
