tahun,kalori_hari,protein_hari,lemak_hari,bahan_makanan,kalori_per_kapita,protein_per_kapita,lemak_per_kapita
1993,1741.0,34.53,5.65,33715.0,1741.0,34.53,5.65
1994,1479.0,27.93,2.88,28590.0,1479.0,27.93,2.88
1995,13113.4447,133.7764,150.311321,140995.9001,13113.4447,133.7764,150.311321
1996,9550.8766,126.38210000000001,147.710608,118050.0565,9550.8766,126.38210000000001,147.710608
1997,3707.9527,49.8158,73.500534,75582.1584,3707.9527,49.8158,73.500534
1998,6133.1573,92.066,81.509723,41513.6769,6133.1573,92.066,81.509723
1999,3305.8702,44.4915,57.761827,52319.2131,3305.8702,44.4915,57.761827
2000,11222.1989,92.7196,137.145857,153014.8818,11222.1989,92.7196,137.145857
2001,20407.6807,110.4551,112.012846,121460.8306,20407.6807,110.4551,112.012846
2002,20407.6807,110.4551,112.012846,121460.8306,20407.6807,110.4551,112.012846
2003,9007.1536,171.1987,94.786347,122545.754,9007.1536,171.1987,94.786347
2004,16301.6594,135.9684,79.915842,86510.43560000001,16301.6594,135.9684,79.915842
2005,2701.3872,25.6646,65.377232,26091.8144,2701.3872,25.6646,65.377232
2006,12092.733100000001,36.7228,136.067611,166388.5802,12092.733100000001,36.7228,136.067611
2007,23426.7098,143.1384,184.49226099999998,147121.05089999997,23426.7098,143.1384,184.49226099999998
2008,12187.1577,133.8843,99.464922,26349.8032,12187.1577,133.8843,99.464922
2009,18264.6547,133.4237,223.926367,237988.21029999998,18264.6547,133.4237,223.926367
2010,8027.1102,100.0882,40.263931,71191.5297,8027.1102,100.0882,40.263931
2011,27990.8958,214.923,182.296198,171024.72879999998,27990.8958,214.923,182.296198
2012,6278.4809,52.9945,44.460573,86849.4966,6278.4809,52.9945,44.460573
2013,9183.6011,105.6602,97.315326,128193.3781,9183.6011,105.6602,97.315326
2014,8473.2243,93.2022,73.843623,36225.8812,8473.2243,93.2022,73.843623
2015,19537.3497,166.1395,92.012264,193803.8475,19537.3497,166.1395,92.012264
2016,19537.3497,166.1395,92.012264,193803.8475,19537.3497,166.1395,92.012264
2017,7001.2101,70.0018,16.823032,48973.6648,7001.2101,70.0018,16.823032
2018,7001.2101,70.0018,16.823032,48973.6648,7001.2101,70.0018,16.823032
2019,7001.2101,70.0018,16.823032,48973.6648,7001.2101,70.0018,16.823032
2020,1564.0,4.15,0.46,4014.0,1564.0,4.15,0.46
2021,20141.477000000003,146.2517,52.309858,195582.1449,20141.477000000003,146.2517,52.309858
2022,7578.3709,67.5709,36.655568,48235.3889,7578.3709,67.5709,36.655568
2023,7578.3709,67.5709,36.655568,48235.3889,7578.3709,67.5709,36.655568
2024,12875.0655,116.4669,121.59510399999999,93968.8515,12875.0655,116.4669,121.59510399999999
2025,6216.8852,11.6361,42.845922,41168.3073,6216.8852,11.6361,42.845922
